grid,division,habitat,year,cap,species,sex,weight
FR1,VG,FR,2016,C,Mus musculus,F,29
FR1,VG,FR,2016,C,Rattus satarae,F,132
FR1,VG,FR,2016,C,Mus musculus,NA,22
FR1,VG,FR,2016,C,Mus musculus,M,32
FR1,VG,FR,2016,C,Mus musculus,F,42
FR1,VG,FR,2016,C,Mus musculus,M,39
FR1,VG,FR,2016,C,Mus musculus,M,17
FR1,VG,FR,2016,C,Mus musculus,M,17
FR1,VG,FR,2016,C,Mus musculus,F,39
FR1,VG,FR,2017,C,Rattus satarae,M,166
FR1,VG,FR,2017,C,Rattus satarae,F,106
FR1,VG,FR,2017,C,Mus musculus,F,32.5
FR1,VG,FR,2017,C,Mus musculus,F,35
FR1,VG,FR,2017,C,Mus musculus,F,38
FR1,VG,FR,2017,C,Mus musculus,M,26
FR1,VG,FR,2017,C,Mus musculus,F,42
FR1,VG,FR,2018,C,Rattus satarae,F,180
FR1,VG,FR,2018,C,Rattus satarae,F,98
FR1,VG,FR,2018,C,Mus musculus,M,30
FR1,VG,FR,2018,C,Rattus satarae,F,138
FR1,VG,FR,2018,C,Rattus satarae,F,132
FR1,VG,FR,2018,C,Rattus satarae,M,162
FR1,VG,FR,2018,C,Rattus satarae,M,121
FR1,VG,FR,2018,C,Rattus satarae,M,142
FR1,VG,FR,2018,C,Rattus satarae,M,105
FR1,VG,FR,2018,C,Rattus satarae,F,121
FR1,VG,FR,2018,C,Rattus satarae,F,120
FR1,VG,FR,2018,C,Rattus satarae,F,85
FR1,VG,FR,2018,C,Rattus satarae,M,172
FR2,MG,FR,2016,C,Mus musculus,F,34
FR2,MG,FR,2016,C,Mus musculus,F,34
FR2,MG,FR,2016,C,Rattus satarae,F,177
FR2,MG,FR,2016,C,Rattus satarae,M,152
FR2,MG,FR,2016,C,Rattus satarae,M,147
FR2,MG,FR,2016,C,Rattus satarae,F,NA
FR2,MG,FR,2016,C,Mus musculus,NA,NA
FR2,MG,FR,2016,C,Rattus satarae,F,130
FR2,MG,FR,2016,C,Mus musculus,M,30
FR2,MG,FR,2017,C,Rattus satarae,M,111
FR2,MG,FR,2017,C,Rattus satarae,M,61
FR2,MG,FR,2017,C,Rattus satarae,F,126
FR2,MG,FR,2017,C,Rattus satarae,M,104
FR2,MG,FR,2017,C,Rattus satarae,F,84
FR2,MG,FR,2017,C,Mus booduga,F,13
FR2,MG,FR,2017,C,Rattus satarae,M,121
FR2,MG,FR,2017,C,Funambulus tristriatus,M,175
FR2,MG,FR,2018,C,Rattus satarae,M,125
FR2,MG,FR,2018,C,Rattus satarae,F,98
FR2,MG,FR,2018,C,Rattus satarae,M,145
FR2,MG,FR,2018,C,Rattus satarae,F,100
FR2,MG,FR,2018,C,Rattus satarae,M,180
FR2,MG,FR,2018,C,Rattus satarae,F,102
FR2,MG,FR,2018,C,Rattus satarae,M,115
FR2,MG,FR,2018,C,Rattus satarae,M,145
FR2,MG,FR,2018,C,Rattus satarae,F,85
FR2,MG,FR,2018,C,Rattus satarae,M,142
FR2,MG,FR,2018,C,Rattus satarae,F,124
FR2,MG,FR,2018,C,Mus musculus,F,20
FR2,MG,FR,2018,C,Rattus satarae,M,138
FR2,MG,FR,2018,C,Rattus satarae,M,130
FR3,KDM,FR,2016,C,Rattus satarae,M,147
FR3,KDM,FR,2016,C,Mus musculus,M,37
FR3,KDM,FR,2016,C,Rattus satarae,F,142
FR3,KDM,FR,2016,C,Rattus satarae,M,NA
FR3,KDM,FR,2016,C,Rattus satarae,M,180
FR3,KDM,FR,2017,C,Mus musculus,M,30
FR3,KDM,FR,2017,C,Mus musculus,M,27
FR3,KDM,FR,2017,C,Mus musculus,M,26
FR3,KDM,FR,2017,C,Mus musculus,M,NA
FR3,KDM,FR,2017,C,Mus musculus,M,15.5
FR3,KDM,FR,2017,C,Mus musculus,F,26
FR3,KDM,FR,2018,C,Rattus satarae,M,165
FR3,KDM,FR,2018,C,Rattus satarae,M,162
FR3,KDM,FR,2018,C,Rattus satarae,F,142
FR3,KDM,FR,2018,C,Mus booduga,F,10.9
FR3,KDM,FR,2018,C,Rattus satarae,M,128
FR3,KDM,FR,2018,C,Platacanthomys lasiurus,M,49.5
FR3,KDM,FR,2018,C,Mus booduga,M,8.5
GL1,MRK,GL,2016,C,Mus booduga,M,7
GL1,MRK,GL,2016,C,Mus booduga,M,7
GL1,MRK,GL,2016,C,Mus booduga,NA,7
GL1,MRK,GL,2016,C,Mus booduga,F,7
GL1,MRK,GL,2016,C,Mus booduga,M,7
GL1,MRK,GL,2016,C,Mus booduga,M,7
GL1,MRK,GL,2016,C,Mus booduga,M,9.5
GL1,MRK,GL,2016,C,Mus booduga,M,10
GL1,MRK,GL,2016,C,Mus musculus,M,22
GL1,MRK,GL,2016,C,Mus booduga,M,7
GL1,MRK,GL,2016,C,Suncus niger,NA,4.5
GL1,MRK,GL,2016,C,Mus booduga,NA,7
GL1,MRK,GL,2016,C,Mus booduga,F,8
GL1,MRK,GL,2016,C,Mus booduga,NA,8
GL1,MRK,GL,2016,C,Mus booduga,NA,7
GL1,MRK,GL,2016,C,Mus booduga,NA,7
GL1,MRK,GL,2016,C,Mus booduga,M,7
GL1,MRK,GL,2016,C,Suncus niger,NA,5
GL1,MRK,GL,2016,C,Mus booduga,F,8
GL1,MRK,GL,2016,C,Mus booduga,M,9
GL1,MRK,GL,2016,C,Mus booduga,M,7
GL1,MRK,GL,2016,C,Mus booduga,M,6
GL1,MRK,GL,2016,C,Mus booduga,NA,7
GL1,MRK,GL,2016,C,Mus booduga,NA,11
GL1,MRK,GL,2016,C,Mus booduga,NA,NA
GL1,MRK,GL,2016,C,Suncus niger,F,4
GL1,MRK,GL,2016,C,Gollunda ellioti,NA,57
GL1,MRK,GL,2016,C,Mus booduga,M,9
